item,item_code,quantity,unit_price,total_sales_amount,date,type
dbl jack daniels,3526,11.0,8.0,88.0,2021-01-15,scotch/whiskey
dbl titos,3654,10.0,7.6,76.0,2021-01-15,vodka
cheese curds,2728,10.0,7.2,72.0,2021-01-15,appetizers
sriracha strips,2730,10.0,8.05,80.5,2021-01-15,appetizers
bottle miller lite,3391,9.0,2.1666666666667,19.5,2021-01-15,beer
nashville hot chicken,3706,8.0,7.065,56.52,2021-01-15,entree
dbl jim beam,3530,7.0,7.0,49.0,2021-01-15,bourbon
perch fry,2830,7.0,13.275714285714,92.93,2021-01-15,fish
shot dr mcgullicuddys,3226,7.0,1.2857142857143,9.0,2021-01-15,liqueur
shot rumpleminz,3242,6.0,0.0,0.0,2021-01-15,rum
all american burger,2840,6.0,7.1666666666667,43.0,2021-01-15,burger
cheese burger,2841,6.0,6.5833333333333,39.5,2021-01-15,burger
shot jack daniels,3527,6.0,3.3333333333333,20.0,2021-01-15,scotch/whiskey
dbl rail whiskey,3459,6.0,4.5833333333333,27.5,2021-01-15,scotch/whiskey
dbl skyy raspb,3668,6.0,5.8333333333333,35.0,2021-01-15,vodka
dbl skyy cherry,3670,5.0,7.0,35.0,2021-01-15,vodka
shot cazadores blanco,3481,5.0,3.2,16.0,2021-01-15,tequila
dbl rail gin,3453,5.0,4.1,20.5,2021-01-15,gin
dbl makers mark,3534,5.0,8.0,40.0,2021-01-15,bourbon
shot makers mark,3535,5.0,3.2,16.0,2021-01-15,bourbon
bottle bud light,3114,5.0,4.5,22.5,2021-01-15,beer
french fries,2731,5.0,1.7,8.5,2021-01-15,side
pc pollack,2800,4.0,2.375,9.5,2021-01-15,fish
bottle budweiser,3115,4.0,4.5,18.0,2021-01-15,beer
riverwest burger,2714,4.0,11.125,44.5,2021-01-15,burger
skyy raspberry bomb,3369,4.0,3.0,12.0,2021-01-15,vodka
dbl rail brandy,3448,4.0,6.5,26.0,2021-01-15,brandy
buffalo chicken sammy,3707,4.0,6.75,27.0,2021-01-15,sandwich
shot captain morgan,3497,4.0,4.0,16.0,2021-01-15,rum
bottle hop refresher,3703,3.0,4.5,13.5,2021-01-15,beer
tracks big boy,3704,3.0,10.333333333333,31.0,2021-01-15,burger
